,ID,Salitix_client_number,Salitix_client_name,Salitix_customer_number,salitix_customer_short_name,Promo_Status,Audit_Year,Retailer_promotion_number,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Promo_Retro_Funding(Case),Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Funding_Amount,Epos_Funding_Amount,Salitix_EPOS_PRD_Status_ind,Salitix_EPOS_Qty,Salitix_EPOS_Value,Salitix_Invoice_Qty_Units,Salitix_Dupe_Record_ind,Audit_Comments,CreatedDate,CreatedBy,LastUpdate,LastUpdateBy,Trigger_Unit_Qty,Salitix_Overlap_Record_ind,Salitix_Case_Size_Diff_Record_ind,Salitix_VAT_Rate_Diff_Record_ind,Salitix_Avg_Inv_Promo_Case_Price,Actual_Promotion_ID,MatchPass,Standard_Margin_perc,Promo_Margin_perc,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source,Promotion_Zone_Number,PS_History
0,48951,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-24,McVitie's Gold Phase 2 @ £0.90,P1,E,2021-01-16,2021-02-07,2021-01-16,2021-02-07,,50831000,,McV Gold Bar 7 x 18g Orig,,24,0.0,0.0,0.0,1.0,0.9,15.84,15.84,1.58,,,0.0,0.0,0.0,0.066,Y,160181.0,144829.3,133200.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,15.84,1000083265,1.0,0.0,0.0,2000.0,48000.0,No,pladis McVitie's Club and Gold @ 0.90 Jan 2021 phase 2 event 05.01.21,,
1,48952,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-25,McVitie's Club Phase 2 @ £0.90,P1,E,2021-01-16,2021-02-07,2021-01-16,2021-02-07,,50469707,,MCV CLUB BAR 7pk MINT,,30,0.2,0.0,0.0,1.0,0.9,16.5,16.5,1.65,,,0.0,0.0,0.0,0.055,Y,106651.0,96420.83,102000.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,16.5,1000083733,1.0,0.0,0.0,2000.0,60000.0,No,pladis McVitie's Club and Gold @ 0.90 Jan 2021 phase 2 event 05.01.21,,
2,48953,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-25,McVitie's Club Phase 2 @ £0.90,P1,E,2021-01-16,2021-02-07,2021-01-16,2021-02-07,,50469706,,MCV CLUB BAR 7pk ORANGE,,30,0.2,0.0,0.0,1.0,0.9,16.5,16.5,1.65,,,0.0,0.0,0.0,0.055,Y,219397.0,198364.87,165000.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,16.5,1000083733,1.0,0.0,0.0,5000.0,150000.0,No,pladis McVitie's Club and Gold @ 0.90 Jan 2021 phase 2 event 05.01.21,,
3,48954,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-26,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5929038,,Jacobs Savours 200g Salt and Pepper,,12,0.0,0.0,0.0,1.39,1.0,10.74,10.74,0.0,,,0.0,0.0,0.4,0.0,Y,28982.0,32375.46,32256.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,10.74,1000082833,1.0,0.0,0.0,3350.0,40200.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
4,48955,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-27,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5929626,,Carrs 125g Table Water,,12,0.0,0.0,0.0,1.19,1.0,10.28,10.28,0.0,,,0.0,0.0,0.28,0.0,Y,26478.0,28115.65,25920.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,10.28,1000082833,1.0,0.0,0.0,7000.0,84000.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
5,48956,CL002,PLADIS,ASD01,ASDA,2,2021,CL002-ASD01-2021-28,Cheddars & TUC Shelf @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5930410,,TUC ORIGINAL 150g Original,,12,0.0,0.0,0.0,1.29,1.0,12.01,12.01,3.37,,,0.0,0.0,0.0,0.281,Y,87657.0,86883.52,108000.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,Y,N,12.01,1000081965,1.0,0.0,0.0,2000.0,24000.0,No,pladis Jacobs Cheddars and TUC Shelf @ £1.00,,
6,48957,CL002,PLADIS,ASD01,ASDA,2,2021,CL002-ASD01-2021-29,Cheddars & TUC Shelf @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5930508,,JACOBS CHEDDARS 150g Original,,12,0.0,0.0,0.0,1.29,1.0,11.15,11.15,2.51,,,0.0,0.0,0.0,0.209,Y,107418.0,106447.31,124200.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,11.15,1000084205,1.0,0.0,0.0,550.0,6600.0,No,pladis Jacobs Cheddars and TUC Shelf @ £1.00,,
7,48958,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-30,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5934190,,Carrs 150g Cheese Melts,,12,0.0,0.0,0.0,1.49,1.0,14.19,14.19,0.0,,,0.0,0.0,0.78,0.0,Y,32968.0,36881.48,36288.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,14.19,1000082833,1.0,0.0,0.0,6000.0,72000.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
8,48959,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-31,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5940651,,Jacobs Flatbread 150g Salt and Pepper,,5,0.0,0.0,0.0,1.5,1.0,6.44,6.44,0.0,,,0.0,0.0,1.14,0.0,Y,28482.0,32100.99,26570.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,6.44,1000082833,1.0,0.0,0.0,7000.0,35000.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
9,48960,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-32,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5944655,,Jacobs Savours 150g Chilli Thins,,12,0.0,0.0,0.0,1.39,1.0,10.74,10.74,0.0,,,0.0,0.0,0.4,0.0,Y,16096.0,17664.38,15900.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,10.74,1000082833,1.0,0.0,0.0,1400.0,16800.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
