0,1,2,3,4,5,6
ASD01,7000000058,183.8,183.8,Nett Check,JACOBS SAVOURS SLT/PP 200G,
ASD01,7000082879,381.8,458.16,Nett Check,,; VOLUME REBATE Look on image
ASD01,7000000058,183.8,183.8,Nett Check,JACOBS SAVOURS CHILLI 150G,
ASD01,7000082879,381.8,458.16,Nett Check,,; VOLUME REBATE Look on image
ASD01,7000000058,183.8,183.8,Nett Check,JACOBS SAVOURS CHEESE 150G,
ASD01,7000082879,381.8,458.16,Nett Check,,; VOLUME REBATE Look on image
ASD01,7000000058,183.8,183.8,Nett Check,JACOBS SAVOURS SCRM 150G,
ASD01,7000082879,381.8,458.16,Nett Check,,; VOLUME REBATE Look on image
ASD01,7000009350,11880.0,14256.0,Gross Check,Branded Shipper,- Branded Shippers (EG) - Daily / Live: 28.01.21 / SP Pladis Fruity Bakes Shipper P2 Jan21
ASD01,7000067508,13020.0,15624.0,Gross Check,Branded Shippers,- Branded Shippers (EG) / Live: 21.05.20 - 27.05.20 / SP Pladis Mini Cheddars Shipper P6 May20
ASD01,7000024490,2265.0,2718.0,Gross Check,MILKY WAY CAKE BARS CHOC 10PK,
ASD01,7000064336,1560.0,1872.0,Gross Check,Mothers Day Email Panel, Email Panel 1 / Live Date: Thu 21 03 19 / Product and ordered by: CT_Mothers Day_Impulse_BWS_Flowers_H&B_March2019
ASD01,7000024490,2265.0,2718.0,Gross Check,MILKY WAY CAKE BARS CHOC 10PK,
ASD01,7000064335,1560.0,1872.0,Gross Check,,; ;  Look on image
ASD01,7000024490,2265.0,2718.0,Gross Check,MILKY WAY CAKE BARS CHOC 10PK,
ASD01,7000151640,6015.0,7218.0,Gross Check,,; Fixed Agreement; Promotional Funding
ASD01,7000028197,1042.8,1042.8,Gross Check,MMS CAKE BARS CHOC 5PK,
ASD01,7000031516,1034.0,1240.8,Gross Check,Case Movement,GRANGEMOUTH TO LARNE CASE MOVEMENT CHARGES AT £0.4 PER CASE. WEEK 8&9 CASE COUNT OF 2585
ASD01,7000031516,1034.0,1240.8,Nett Check,Case Movement,GRANGEMOUTH TO LARNE CASE MOVEMENT CHARGES AT £0.4 PER CASE. WEEK 8&9 CASE COUNT OF 2585
ASD01,7000062070,1403.0,1683.6,Nett Check,,; ;  Look on image
ASD01,7000031516,1034.0,1240.8,Nett Check,Case Movement,GRANGEMOUTH TO LARNE CASE MOVEMENT CHARGES AT £0.4 PER CASE. WEEK 8&9 CASE COUNT OF 2585
ASD01,7000010619,3410.0,4092.0,Nett Check,,; ;  Look on image
ASD01,7000030660,765.6,765.6,Gross Check,,
ASD01,7000066050,548.0,657.6,Gross Check,Coconut rings,PR009681- 2020 Q2 Amends- Impulse- Biscuits- Coconut rings- 59
ASD01,7000037615,2805.0,3366.0,Gross Check,Promo Banner,"- Promo Banner (Favourite - Food Cupboard>Biscuits, Chocolate & Sweets) / Live: 12.03.20 - 18.03.20"
ASD01,7000179124,5302.5,6363.0,Gross Check,,
ASD01,7000037615,2805.0,3366.0,Nett Check,Promo Banner,"- Promo Banner (Favourite - Food Cupboard>Biscuits, Chocolate & Sweets) / Live: 12.03.20 - 18.03.20"
ASD01,7000059501,2850.0,3420.0,Nett Check,,; ;  Look on image
ASD01,7000038301,2510.0,3012.0,Nett Check,Digital Marketing,"- Basic Leaderboard/MPU (Contextual+Non Contextual - Food  Cupboard>Biscuits, Chocolate"
ASD01,7000139654,1250.0,1500.0,Nett Check,,
ASD01,7000038301,2510.0,3012.0,Nett Check,Digital Marketing,"- Basic Leaderboard/MPU (Contextual+Non Contextual - Food  Cupboard>Biscuits, Chocolate"
ASD01,7000139653,1250.0,1500.0,Nett Check,,
ASD01,7000002248,12030.0,14436.0,Nett Check,MCV HOBNOB FLAPJACKS CHOC 5PK,gate fee
ASD01,7000131065,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000002248,12030.0,14436.0,Nett Check,MCV HOBNOB FLAPJACKS CHOC 5PK,gate fee
ASD01,7000057954,10230.0,12276.0,Nett Check,MCV MINI ROLLS JAFFA 5PK,
ASD01,7000002248,12030.0,14436.0,Nett Check,MCV HOBNOB FLAPJACKS CHOC 5PK,gate fee
ASD01,7000171457,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000002248,12030.0,14436.0,Nett Check,MCV HOBNOB FLAPJACKS CHOC 5PK,gate fee
ASD01,7000152848,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000002248,12030.0,14436.0,Nett Check,MCV HOBNOB FLAPJACKS CHOC 5PK,gate fee
ASD01,7000158703,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000002248,12030.0,14436.0,Nett Check,MCV HOBNOB FLAPJACKS CHOC 5PK,gate fee
ASD01,7000011799,10230.0,12276.0,Nett Check,,; ;  Look on image
ASD01,7000061167,10000.0,12000.0,Gross Check,MINI CHEDDARS ORIG 6X25G,gate fee
ASD01,7000188078,17500.0,21000.0,Gross Check,,; ;  Look on image
ASD01,7000062539,15000.0,18000.0,Gross Check,MINI CHEDDARS REDLE 12X25G,
ASD01,7000096328,8400.0,10080.0,Gross Check,,; ;  Look on image
ASD01,7000062539,15000.0,18000.0,Gross Check,MINI CHEDDARS REDLE 12X25G,
ASD01,7000096328,8400.0,10080.0,Gross Check,,; VOLUME REBATE Look on image
ASD01,7000066050,548.0,657.6,Nett Check,Coconut rings,PR009681- 2020 Q2 Amends- Impulse- Biscuits- Coconut rings- 59
ASD01,7000165484,584.0,700.8,Nett Check,,; ;  Look on image
ASD01,7000003694,2295.0,2754.0,Gross Check,MCV MINI ROLLS JAFFA 5PK,gate fee
ASD01,7000088070,4770.0,5724.0,Gross Check,HOBNOB / DIGESTIVES, P9 - RANGE @ 64P
