,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
0,CL023,ASD01,PR,E,,,Volume Agreement,7000002601,2024-01-05,1000265024,51366584.0,2024-01-01,2024-01-03,13.0,3.5,45.5,0.2,54.6,,,Automatic
1,CL023,ASD01,PR,E,,,Volume Agreement,7000002601,2024-01-05,1000265024,51366583.0,2024-01-01,2024-01-03,26.0,3.5,91.0,0.2,109.2,,,Automatic
2,CL023,ASD01,FX,,,,Fixed Agreement,7000076173,2020-06-24,1000045011,,2020-06-01,2020-06-01,,,889.82,0.2,1067.784,,ASDA Media Partnership Income,Automatic
3,CL023,ASD01,PR,E,,,Volume Agreement,7000091511,2021-06-30,1000088419,50863352.0,2021-06-01,2021-06-30,11877.0,0.12,1425.2400000000002,0.2,1710.2880000000002,,,Automatic
4,CL023,ASD01,PR,E,,,Volume Agreement,7000091511,2021-06-30,1000088419,9620082.0,2021-06-01,2021-06-30,17937.0,0.12,2152.4400000000005,0.2,2582.9280000000003,,,Automatic
5,CL023,ASD01,FX,,,,Fixed Agreement,7000185707,2019-12-18,1000018619,,2019-11-28,2019-11-28,,,19379.88,0.0,19379.88,,Other (By Exception Only),Automatic
6,CL023,ASD01,PR,E,,,Volume Agreement,7000002622,2024-01-05,1000267055,50228275.0,2024-01-01,2024-01-03,3530.0,1.1,3883.0000000000005,0.2,4659.6,,,Automatic
7,CL023,ASD01,MS,,,,VOLUME REBATE,7000002649,2019-01-01,,,2019-01-01,2019-01-01,,,14355.48,0.2,17226.575999999997,,VOLUME REBATE Look on image,Automatic
8,CL023,ASD01,MS,,,,VOLUME REBATE,7000002666,2019-01-01,,,2019-01-01,2019-01-01,,,203444.67,0.2,244133.604,,VOLUME REBATE Look on image,Automatic
9,CL023,ASD01,MS,,,,VOLUME REBATE,7000002710,2019-01-01,,,2019-01-01,2019-01-01,,,165056.00,0.2,198067.19999999998,,VOLUME REBATE Look on image,Automatic
10,CL023,ASD01,MS,,,,VOLUME REBATE,7000002720,2019-01-01,,,2019-01-01,2019-01-01,,,10639.28,0.2,12767.136,,VOLUME REBATE Look on image,Automatic
11,CL023,ASD01,MS,,,,VOLUME REBATE,7000002743,2019-01-01,,,2019-01-01,2019-01-01,,,3349.60,0.2,4019.5199999999995,,VOLUME REBATE Look on image,Automatic
12,CL023,ASD01,MS,,,,VOLUME REBATE,7000002750,2019-01-01,,,2019-01-01,2019-01-01,,,3758.11,0.2,4509.732,,VOLUME REBATE Look on image,Automatic
13,CL023,ASD01,MS,,,,VOLUME REBATE,7000002850,2019-01-01,,,2019-01-01,2019-01-01,,,12733.00,0.2,15279.599999999999,,VOLUME REBATE Look on image,Automatic
14,CL023,ASD01,MS,,,,VOLUME REBATE,7000002896,2019-01-01,,,2019-01-01,2019-01-01,,,4460.00,0.2,5352.0,,VOLUME REBATE Look on image,Automatic
15,CL023,ASD01,MS,,,,VOLUME REBATE,7000002900,2019-01-01,,,2019-01-01,2019-01-01,,,5819.84,0.2,6983.808,,VOLUME REBATE Look on image,Automatic
16,CL023,ASD01,MS,,,,VOLUME REBATE,7000002977,2019-01-01,,,2019-01-01,2019-01-01,,,24572.80,0.2,29487.359999999997,,VOLUME REBATE Look on image,Automatic
17,CL023,ASD01,PR,E,,,Volume Agreement,7000003000,2024-01-02,1000246424,60009475.0,2023-12-01,2023-12-31,58452.0,1.5,87678.0,0.2,105213.59999999999,,,Automatic
18,CL023,ASD01,FX,,,,Fixed Agreement,7000003476,2022-01-27,1000161991,,2022-01-26,2022-01-26,,,297.89,0.2,357.46799999999996,,ASDA Media Partnership Income,Automatic
19,CL023,ASD01,PR,E,,,Volume Agreement,7000003512,2024-01-05,1000258829,51294222.0,2024-01-01,2024-01-03,68.0,0.3,20.4,0.2,24.479999999999997,,,Automatic
20,CL023,ASD01,MS,,,,,7000004412,2021-01-15,,,2021-01-15,2021-01-15,,,20.00,0.0,20.0,, Look on image,Automatic
21,CL023,ASD01,FX,,,,Fixed Agreement,7000004952,2021-01-27,1000084228,,2021-01-27,2021-01-27,,,786.01,0.2,943.212,,ASDA Media Partnership Income,Automatic
22,CL023,ASD01,MS,,,,VOLUME REBATE,7000005026,2019-01-06,,,2019-01-06,2019-01-06,,,1551.00,0.2,1861.1999999999998,,VOLUME REBATE Look on image,Automatic
23,CL023,ASD01,MS,,,,VOLUME REBATE,7000005062,2019-01-06,,,2019-01-06,2019-01-06,,,2068.95,0.2,2482.74,,VOLUME REBATE Look on image,Automatic
24,CL023,ASD01,MS,,,,VOLUME REBATE,7000005065,2019-01-06,,,2019-01-06,2019-01-06,,,85.51,0.2,102.61200000000001,,VOLUME REBATE Look on image,Automatic
25,CL023,ASD01,MS,,,,VOLUME REBATE,7000005073,2019-01-06,,,2019-01-06,2019-01-06,,,405.60,0.2,486.72,,VOLUME REBATE Look on image,Automatic
26,CL023,ASD01,MS,,,,VOLUME REBATE,7000005088,2019-01-06,,,2019-01-06,2019-01-06,,,852.50,0.2,1023.0,,VOLUME REBATE Look on image,Automatic
27,CL023,ASD01,MS,,,,VOLUME REBATE,7000005126,2019-01-06,,,2019-01-06,2019-01-06,,,55.80,0.2,66.96,,VOLUME REBATE Look on image,Automatic
28,CL023,ASD01,MS,,,,VOLUME REBATE,7000005144,2019-01-06,,,2019-01-06,2019-01-06,,,1005.90,0.2,1207.08,,VOLUME REBATE Look on image,Automatic
29,CL023,ASD01,MS,,,,VOLUME REBATE,7000005204,2019-01-06,,,2019-01-06,2019-01-06,,,151.67,0.2,182.004,,VOLUME REBATE Look on image,Automatic
