,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
0,CL002,ASD01,PR,E,,,Volume Agreement,7000000005,2022-01-02,1000152693,5952600.0,2021-12-02,2021-12-31,2.9999999999999996,1.1,3.3,0.0,3.3,,,Automatic
1,CL002,ASD01,MS,,,,,7000017595,2022-02-16,,,2022-02-16,2022-02-16,,,51.24,0.0,51.24,, Look on image,Automatic
2,CL002,ASD01,PR,E,,,Volume Agreement,7000037840,2020-03-31,1000021648,5929038.0,2020-03-01,2020-03-31,19120.0,0.2,3824.0,0.0,3824.0,,,Automatic
3,CL002,ASD01,PR,E,,,Volume Agreement,7000037840,2020-03-31,1000021648,5944655.0,2020-03-01,2020-03-31,9728.0,0.2,1945.6,0.0,1945.6,,,Automatic
4,CL002,ASD01,PR,E,,,Volume Agreement,7000037840,2020-03-31,1000021648,5947259.0,2020-03-01,2020-03-31,8424.0,0.2,1684.8000000000002,0.0,1684.8000000000002,,,Automatic
5,CL002,ASD01,PR,E,,,Volume Agreement,7000037840,2020-03-31,1000021648,5947266.0,2020-03-01,2020-03-31,15299.0,0.2,3059.8,0.0,3059.8,,,Automatic
6,CL002,ASD01,PR,E,,,Volume Agreement,7000037840,2020-03-31,1000021648,5934190.0,2020-03-01,2020-03-31,17262.0,0.22,3797.6400000000003,0.0,3797.6400000000003,,,Automatic
7,CL002,ASD01,PR,E,,,Volume Agreement,7000037840,2020-03-31,1000021648,5929626.0,2020-03-01,2020-03-31,14768.0,0.11,1624.48,0.0,1624.48,,,Automatic
8,CL002,ASD01,MS,,,,VOLUME REBATE,7000055037,2019-04-07,,,2019-04-07,2019-04-07,,,4332.76,0.0,4332.76,,VOLUME REBATE Look on image,Automatic
9,CL002,ASD01,FX,,,,Fixed Agreement,7000071088,2020-05-29,1000041555,,2020-05-21,2020-05-21,,,4590.00,0.2,5508.0,,Promotional Funding,Automatic
10,CL002,ASD01,PR,E,,,Volume Agreement,7000088949,2021-06-30,1000112904,3924291.0,2021-06-10,2021-06-30,14153.0,0.54,7642.620000000001,0.0,7642.620000000001,,,Automatic
11,CL002,ASD01,PR,E,,,Volume Agreement,7000105249,2021-07-31,1000118722,5930410.0,2021-07-15,2021-07-31,58986.0,0.46,27133.56,0.0,27133.56,,,Automatic
12,CL002,ASD01,MS,,,,,7000123546,2019-08-08,,,2019-08-08,2019-08-08,,,91.01,0.2,109.212,, Look on image,Automatic
13,CL002,ASD01,PR,E,,,Volume Agreement,7000140055,2022-10-10,1000190961,50363123.0,2022-10-01,2022-10-08,780.0,0.39,304.20000000000005,0.0,304.20000000000005,,,Automatic
14,CL002,ASD01,MS,,,,,7000160602,2019-10-30,,,2019-10-30,2019-10-30,,,60.00,0.0,60.0,, Look on image,Automatic
15,CL002,ASD01,MS,,,,,7000179568,2022-12-19,,,2022-12-19,2022-12-19,,,4330.00,0.2,5196.0,, Look on image,Automatic
16,CL002,ASD01,FX,,,,Fixed Agreement,7000105569,2019-07-19,1000004037,,2019-07-18,2019-07-18,,,50000.00,0.2,60000.0,,Promotional Funding,Automatic
17,CL002,ASD01,FX,,,,Fixed Agreement,7000105576,2019-07-19,1000005225,,2019-07-18,2019-07-18,,,12030.00,0.2,14436.0,,Promotional Funding,Automatic
18,CL002,ASD01,PR,E,,,Volume Agreement,7000105595,2020-08-23,1000051468,5930410.0,2020-08-13,2020-08-21,27896.0,0.28,7810.880000000001,0.0,7810.880000000001,,,Automatic
19,CL002,ASD01,PR,E,,,Volume Agreement,7000105614,2021-07-31,1000116838,3924298.0,2021-07-22,2021-07-31,37270.0,0.57,21243.9,0.0,21243.9,,,Automatic
20,CL002,ASD01,PR,E,,,Volume Agreement,7000105616,2021-07-31,1000117010,5929038.0,2021-07-15,2021-07-31,14671.0,0.2,2934.2,0.0,2934.2,,,Automatic
21,CL002,ASD01,PR,E,,,Volume Agreement,7000105616,2021-07-31,1000117010,5944655.0,2021-07-15,2021-07-31,7396.0,0.2,1479.2,0.0,1479.2,,,Automatic
