Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Retailer_Product_Description,Retailer_Primary_Product_Number
CL012,ASD01,50053617,JIM BEAM DOUBLE OAK  70CL,
CL012,ASD01,50066937,FAM GROUSE WHISKY SCOTCH 70CL,6811952   
CL012,ASD01,50105019,BOWMORE WHISKY 9YO 70CL,50105019
CL012,ASD01,50105020,MIDORI LIQUEUR MELON 50CL,50105020
CL012,ASD01,50105198,BOLS GREN 75CL,6821591   
CL012,ASD01,50106014,JIM BEAM BOURBON WHITE 70CL,6802145
CL012,ASD01,50106015,JIM BEAM RED STAG  70CL,6828143
CL012,ASD01,50106016,MACALLAN GOLD  70CL,6834184
CL012,ASD01,50112801,JIM BEAM BOURBON WHITE 1LT,50112801
CL012,ASD01,50122515,SOURZ STRAWBERRY  70CL,50122515  
CL012,ASD01,50123485,BOLS BLUE 50CL,50123485  
CL012,ASD01,50123489,BOLS APRIC 50CL,50203848
CL012,ASD01,50123494,BOLS CASSIS 50CL,50123494  
CL012,ASD01,50123495,BOLS TRISEC 50CL,50203850  
CL012,ASD01,50123499,BOLS CHEBRA 50CL,50203847  
CL012,ASD01,50143250,JIM BEAM PEACH 70CL,50143250  
CL012,ASD01,50194245,JIM BEAM BOURBON WHITE 70CL,6802145   
CL012,ASD01,50203841,STOLICHNAYA VODKA SALKAR 70CL,50203841
CL012,ASD01,50203842,STOLICHNAYA VODKA BLUBER 70CL,50203842
CL012,ASD01,50203843,KNOB CREEK BOURBON 9YO 70CL,50203843
CL012,ASD01,50203844,JIM BEAM RYE WHISKEY  70CL,50203844
CL012,ASD01,50203845,BOWMORE WHISKY 12YO 70CL,50203845
CL012,ASD01,50203846,BOWMORE NO 1  70CL,50422848
CL012,ASD01,50203847,BOLS CHEBRA 50CL,50203847
CL012,ASD01,50203848,BOLS APRIC 50CL,50203848
CL012,ASD01,50203849,BOLS BLUE 50CL,50203849
CL012,ASD01,50203850,BOLS TRISEC 50CL,50203850
CL012,ASD01,50203851,BOLS GREN 75CL,6821591
CL012,ASD01,50203852,COURVOISIER VSOP  35CL,6822487
CL012,ASD01,50203853,JIM BEAM DOUBLE OAK  70CL,50203853
CL012,ASD01,50249369,JIM BEAM GLASS HBALL EACH,50249369  
CL012,ASD01,50273625,JIM BEAM RED STAG  70CL,50273625
CL012,ASD01,50295428,JIM BEAM DOUBLE OAK  70CL,
CL012,ASD01,50322030,ROKU GIN  70CL,50471628  
CL012,ASD01,50332994,JIM BEAM BOURBON WHITE 1L,50112801
CL012,ASD01,50334128,SOURZ CHERRY 70CL,50334128
CL012,ASD01,50368289,JIM BEAM GLASS HBALL EACH,
CL012,ASD01,50368292,JIM BEAM RED STAG  70CL,6828143   
CL012,ASD01,50422848,BOWMORE NO 1  70CL,50422848
CL012,ASD01,50471628,ROKU GIN  70CL,50471628
CL012,ASD01,50490996,MACALLAN GOLD D CASK 70CL,6834184
CL012,ASD01,50595216,LARIOS 12 GIN  70CL,50595216
CL012,ASD01,50595217,LARIOS ROSE GIN  70CL,50595217
CL012,ASD01,50597483,COURVOISIER VSOP  70CL,6837411
CL012,ASD01,50597486,LAPHROAIG SELECT  70CL,
CL012,ASD01,50597487,HIGHLAND PARK  70CL,
CL012,ASD01,50671084,LARIOS COPA GLASS  EACH,50671084
