ID_Pivot,Deleted,Post_Deletion_ID,Retailer_promotion_number_1,Salitix_client_number,Salitix_customer_number,Retailer_promotion_number_2,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Standard_margin_perc,Promo_margin_perc,Promo_Retro_Funding_Case,Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Unit_Qty,Trigger_Funding_Amount,Epos_Funding_Amount,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source
1,,,1,,SAI01,,Cycle 16 - Chambord 20cl,,E,22/01/2020,11/02/2020,22/01/2020,11/02/2020,,6510463,,,,6,20.0,0,0,,,29.58,29.58,,,,22/01/2020,11/02/2020,,,1,0,0.250000,,,Core Only,PRF-2020-01-310833.pdf
2,,,2,,SAI01,,Cycle 16 - Martini Fiero - £10,,E,22/01/2020,11/02/2020,22/01/2020,11/02/2020,,7965705,,,,6,20.0,0,0,,,45.0,45.0,,,,22/01/2020,11/02/2020,,,1,0,1.000000,,,Core Only,PRF-2020-01-310834.pdf
3,,,3,,SAI01,,Cycle 16 - JD Master Distiller 70cl,,E,22/01/2020,11/02/2020,22/01/2020,11/02/2020,,7746307,,,,6,20.0,0,0,,,105.1,105.1,,,,22/01/2020,11/02/2020,,,1,0,0.200000,,,Core Only,PRF-2020-01-310956.pdf
4,,,4,,SAI01,,Cycle 18 - JD Master Distiller 70cl,,E,04/03/2020,24/03/2020,04/03/2020,24/03/2020,,7746307,,,,6,20.0,0,0,,,105.1,105.1,,,,04/03/2020,24/03/2020,,,1,0,0.200000,,,Core Only,PRF-2020-01-310957.pdf
5,,,5,,SAI01,,Cycle 17-Bacardi Carta Blanca 1L,,E,12/02/2020,03/03/2020,12/02/2020,03/03/2020,,2397870,,,,6,20.0,0,0,,,87.67,87.67,,,,12/02/2020,03/03/2020,,,1,0,0.590000,,,Core Only,PRF-2020-01-311029.pdf
6,,,6,,SAI01,,Cycle 17 - Bombay Sapphire 1L,,E,12/02/2020,03/03/2020,12/02/2020,03/03/2020,,3355909,,,,6,20.0,0,0,,,100.9,100.9,,,,12/02/2020,03/03/2020,,,1,0,0.150000,,,Core Only,PRF-2020-01-311032.pdf
7,,,7,,SAI01,,Cycle 17 - Woodford Reserve,,E,12/02/2020,03/03/2020,12/02/2020,03/03/2020,,7767380,,,,6,20.0,0,0,,,121.14,121.14,,,,12/02/2020,03/03/2020,,,1,0,1.640000,,,Core Only,PRF-2020-01-311275.pdf
8,,,8,,SAI01,,Cycle 17 - St Germain 20cl,,E,12/02/2020,03/03/2020,12/02/2020,03/03/2020,,7988455,,,,6,20.0,0,0,,,32.4,32.4,,,,12/02/2020,03/03/2020,,,1,0,0.900000,,,Core Only,PRF-2020-01-312716.pdf
9,,,9,,SAI01,,Cycle 17 - Bombay Sapphire 35cl,,E,12/02/2020,03/03/2020,12/02/2020,03/03/2020,,7988453,,,,6,20.0,0,0,,,46.0,46.0,,,,12/02/2020,03/03/2020,,,1,0,0.580000,,,Core Only,PRF-2020-01-312717.pdf
10,,,10,,SAI01,,Cycle 18 - Bacardi 70cl,,E,04/03/2020,24/03/2020,04/03/2020,24/03/2020,,7988439,,,,6,20.0,0,0,,,62.43,62.43,,,,04/03/2020,24/03/2020,,,1,0,0.420000,,,Core Only,PRF-2020-02-315612.pdf
11,,,11,,SAI01,,Cycle 18 - Bacardi 70cl,,E,04/03/2020,24/03/2020,04/03/2020,24/03/2020,,2377216,,,,6,20.0,0,0,,,68.85,68.85,,,,04/03/2020,24/03/2020,,,1,0,0.380000,,,Core Only,PRF-2020-02-315612.pdf
12,,,12,,SAI01,,Cycle 18 - Bacardi 70cl,,E,04/03/2020,24/03/2020,04/03/2020,24/03/2020,,7967008,,,,6,20.0,0,0,,,63.4,63.4,,,,04/03/2020,24/03/2020,,,1,0,0.470000,,,Core Only,PRF-2020-02-315612.pdf
