Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
,,,,,Wrong Year,,TI00795997,01/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00745285,04/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00747935,07/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00748044,31/12/2018,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00748319,14/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00748579,16/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00749400,18/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00750460,22/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00750922,24/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00751459,28/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00753680,29/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00754853,31/01/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00755497,01/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00756059,07/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00758452,14/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00759394,15/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00759449,18/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00760268,21/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00760981,25/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00761608,28/02/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00763771,07/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00764563,08/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00765410,14/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00766110,15/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00767099,19/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00767149,20/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00767526,22/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00767966,26/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00768787,29/03/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00770816,04/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00771446,05/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00772159,05/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00773685,12/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00775390,18/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00776622,24/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00776970,25/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00777239,26/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00778149,26/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00779616,02/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00780556,03/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00781167,08/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00781516,09/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00782455,10/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00783299,16/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00783444,17/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00784180,17/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00784619,23/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00786261,28/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00787597,30/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00788919,06/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00789719,07/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00790749,11/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00791293,13/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00792393,21/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00793235,24/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00794515,27/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00795364,28/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
