,Vendor_Name,Retailer_Invoice
0,ASDA,7000176870
1,SAINSBURYS,RP211/U0200/002
2,BOOKER,90765022
3,UNITAS,UNSI0024967
4,SAINSBURYS,RP4269/U0200/004
5,MORRISONS,20201007124474
6,ICELAND,ADD18942/424
7,SAINSBURYS,RP5961/U0200/001
8,TESCO,1002100204609
9,SAINSBURYS,RP6861/U0200/002
10,MORRISONS,20221699239693
11,COOP,TI00989820
12,COOP,TI01119754
13,MORRISONS,20221948752995
14,WAITROSE,4700203394
15,BOOKER,90807020
16,ASDA,7000150421
17,MORRISONS,20211210773593
18,MORRISONS,20211461822562
19,BOOKER,1801895733
20,COOP,TI00839375
21,COOP,0093895997
22,COOP,TI01023317
23,AMAZON,2083696395VCBSIN
24,SAINSBURYS,RP7011/U0200/003
25,WAITROSE,4700251475
26,TESCO,2100572695
27,MORRISONS,20211270777747
28,MORRISONS,20232136100555
29,ASDA,7000080830
30,MORRISONS,20211392501017
31,MORRISONS,20221563884426
32,COOP,TI00955714
33,SAINSBURYS,RP4288/U0200/003
34,SAINSBURYS,RP4438/U0200/002
35,MORRISONS,20221586378624
36,NISA,T282695
37,BOOKER,90753309
38,ASDA,7000179546
39,SAINSBURYS,RP9466/U0200/002
40,SAINSBURYS,RP4231/U0200/001
41,MORRISONS,2019846121603
42,MORRISONS,2020956111425
43,BESTWAY,947234
44,COOP,TI01055781
45,MORRISONS,20221990650057
46,COOP,TI01223788
47,COOP,TI01236014
48,MORRISONS,20211083185702
49,MORRISONS,20211190530567
50,MORRISONS,20221653539095
51,COOP,TI01259070
52,SAINSBURYS,RP7337/U0200/002
53,COOP,TI01283979
54,ASDA,7000081723
55,SPAR,RC48231
56,ICELAND,ADD18476/823
57,ICELAND,991/1623
58,SAINSBURYS,RP5420/U0200/001
59,WAITROSE,4700269899
60,ASDA,7000036796
61,TESCO,EL125234
62,SAINSBURYS,RP8804/U0200/002
63,COOP,TI01016000
64,COOP,TI01179435
65,NISA,19648
66,MORRISONS,20221802925115
67,NISA,T318434
68,NISA,T326466
69,MORRISONS,2020862582991
70,MORRISONS,20211067002041
71,MORRISONS,20221541150608
72,BESTWAY,925623
73,COOP,TI01110091
74,ASDA,7000096304
75,TESCO,2100252489
76,MORRISONS,20202020862582991
77,COOP,TI00963630
78,COOP,TI00936667
79,WAITROSE,4700200681
80,ONESTOP,INV-116428
81,ASDA,7000063093
82,SAINSBURYS,RP856/U0200/001
83,NISA,T266036
84,COOP,TI00882328
85,COOP,TI00899468
86,MANDS,ST03 INVALID PRI
87,ASDA,7000010423
88,COOP,TI00843547
89,COOP,TI00890763
90,NISA,T276475
91,BOOKER,90732186
92,COOP,TI01049164
93,MORRISONS,20221921576181
94,MORRISONS,20202019808647315
95,MORRISONS,20211164417894
96,WAITROSE,70171303174
97,BESTWAY,987355
98,SPAR,76153
99,COOP,TI01041114
100,COOP,TI01240096
101,MORRISONS,20221563884523
102,BOOKER,90801153
103,SPAR,SS611066
104,ASDA,7000105629
105,TESCO,2100333173
106,MORRISONS,20211182259629
107,MORRISONS,20221664094541
108,COOP,TI01010338
109,ASDA,7000073241 CT
110,TESCO,2100805988
111,ASDA,7000062229
112,TESCO,2100520606
113,COOP,TI00867300
114,COOP,bulkTI
115,WAITROSE,4700028936
116,ASDA,7000127532
117,TESCO,2100356054
118,SAINSBURYS,FD365885 / 01
119,COOP,TI00884022
120,COOP,TI00922312
121,BOOKER,90742635
122,SAINSBURYS,RP4236/U0200/001
123,SAINSBURYS,RP8008/U0200/004
124,COOP,TI01288559
125,ASDA,7000142218
126,ICELAND,364/2522
127,SAINSBURYS,RP4258/U0200/004
128,SAINSBURYS,PD30844974
129,COOP,TI00908454
130,ICELAND,617/1821
131,NISA,T282360
132,COOP,TI01022660
133,NISA,T308648
134,MORRISONS,20221792228739
135,COOP,TI01184657
136,TESCO,2100889551
137,COOP,TI01054124
138,COOP,TI01154971
139,BESTWAY,1169419/2416
140,BOOKER,1802109815
141,SAINSBURYS,RP319/U0200/001
142,ICELAND,460/3220
143,SPAR,73422
144,UNITAS,UNSI0015514
145,BESTWAY,1055574
146,AMAZON,5800734034
147,COOP,TI01155983
148,COOP,TI01204853
149,ASDA,7000054098
150,SAINSBURYS,RP6818/U0200/001
151,MORRISONS,20221586380069
152,COOP,TI01050762
153,COOP,TI01177671
154,COOP,TI01217000
155,ASDA,7000108639
156,COOP,TI00854203
157,COOP,TI01179925
158,ASDA,7000154059
159,WAITROSE,4700195709
160,WAITROSE,7012013515
161,ICELAND,21463/2424
162,ASDA,7000109213
163,SAINSBURYS,RP5957/U0200/004
164,MORRISONS,2020938909509
165,AMAZON,5800643526
166,WAITROSE,4700080706
167,COOP,TI01136840
168,ASDA,6601024500
169,ASDA,7000148725
170,MORRISONS,2020945268795
171,NISA,T270631
172,WAITROSE,70171313223
173,COOP,TI01183190
174,SAINSBURYS,RP9283/U0200/008
175,SAINSBURYS,FD365150 / 01
176,COOP,TI01005690
177,MORRISONS,20221948755106
178,COOP,TI01201146
179,ASDA,7000164463
180,TESCO,94071139
181,MORRISONS,2020882120028
182,COOP,TI00899442
183,COOP,TI00935199
184,MANDS,5100326216
185,NISA,T285361
186,WAITROSE,4700237182
187,MORRISONS,20211424123025
188,MORRISONS,20221602459945
189,ICELAND,ADD15105/2821
190,COOP,TI01265221
191,ICELAND,22600/2724
192,MORRISONS,20211294757878
193,UNITAS,UNSI0010011
194,ICELAND,1802024178
195,COOP,TI01122080
196,ASDA,7000173400
197,ASDA,7000035232
198,MORRISONS,20211052459997
199,BOOKER,90745046
200,UNITAS,UNSI0021386
201,COOP,TI01142255
202,TESCO,2100616838
203,MORRISONS,20221509804821
204,COOP,TI00892125
205,BOOKER,90797521
206,COOP,TI01192107
207,TESCO,2100841443
208,BESTWAY,A01166078
209,TESCO,1002100182065
210,TESCO,2100568835
211,BESTWAY,1061022
212,WAITROSE,4700130330
213,BOOKER,1434076008
214,COOP,TI00872756
215,BOOKER,90726409
216,SPAR,75213
217,BESTWAY,995140
218,COOP,TI00975777
219,COOP,TI00942809
220,AMAZON,5800653281
221,COOP,TI01170309
222,MORRISONS,20223562717
223,WAITROSE,4700156165
224,MORRISONS,20232207398207
225,ASDA,7000128158
226,SAINSBURYS,FD365025 / 01
227,MORRISONS,20211445831406
228,MORRISONS,20221530518356
229,COOP,TI00843571
230,COOP,TI00978123
231,COOP,TI01019165
232,COOP,TI01054136
233,TESCO,2100914966
234,ICELAND,22378/2724
235,MORRISONS,20221620160563
236,COOP,TI01109042
237,COOP,TI01092120
238,TESCO,2100385473
239,COOP,TI01122099
240,MORRISONS,20232019091797
241,SAINSBURYS,RP1509/U0200/004
242,TESCO,2100338955
243,SAINSBURYS,RP1116/U0200/001
244,MORRISONS,20211336679637
245,WAITROSE,70171261859
246,WAITROSE,70171286737
247,COOP,TI00993222
248,WAITROSE,4700091685
249,COOP,TI01249992
250,ASDA,7000135690
251,MORRISONS,2020931866782
252,COOP,TI00837589
253,COOP,TI00922296
254,MANDS,5101164398 94006
255,MANDS,5101758648
256,COOP,TI01220379
257,TESCO,EL117858
258,TESCO,1002100554471
259,SAINSBURYS,RP9055/U0200/004
260,MORRISONS,20211073566283
261,COOP,TI00957626
262,SPAR,34106
263,WAITROSE,70171397318
264,ICELAND,427/2023
265,SAINSBURYS,RP2207/U0200/001
266,TESCO,2100328266
267,TESCO,1002100595914
268,MORRISONS,2020984578475
269,COOP,TI00852387
270,COOP,TI01045065
271,WAITROSE,4700121590
272,SAINSBURYS,RP4570/U0200/004
273,MORRISONS,20221898462576
274,BESTWAY,A01139725
275,ASDA,7000136520
276,SAINSBURYS,RP7204/U0200/001
277,SAINSBURYS,RP1192/U0200/001
278,COOP,TI00909774
279,BESTWAY,1019296
280,COOP,TI01292002
281,ASDA,7000093336
282,ASDA,7000136329
283,ASDA,7000015949
