Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Retailer_Product_Description,Retailer_Primary_Product_Number
CL012,SAI01,2039657,Teacher's Blended Scotch Whisky 1L,2039657
CL012,SAI01,2040424,Jim Beam Bourbon 70cl,2040424
CL012,SAI01,2171227,The Famous Grouse Blended Whisky 1L,2171227
CL012,SAI01,2340654,Courvoisier VS Cognac 70cl,2340654   
CL012,SAI01,2373041,Teacher's Blended Scotch Whisky 70cl,2373041
CL012,SAI01,2373072,The Famous Grouse Blended Whisky 70cl,2373072
CL012,SAI01,2380247,Macallan Malt Whisky 70cl,2380247
CL012,SAI01,2382807,Laphroaig 10YO Malt Whisky 70cl,2382807
CL012,SAI01,2388144,Highland Park 12YO Single Malt 70cl,2388144
CL012,SAI01,2397856,STOLICHNAYA VODKA 70CL,2397856
CL012,SAI01,2412429,The Famous Grouse Blended Whisky 35cl,2412429
CL012,SAI01,2560090,Courvoisier VS Cognac 35cl,2560090
CL012,SAI01,3167212,Galliano Liqueur 50cl,3167212
CL012,SAI01,3441381,Courvoisier VS Cognac 1L,3441381
CL012,SAI01,4227632,Aftershock Red 50cl,4227632
CL012,SAI01,4229889,Sourz Apple 70cl,4229889
CL012,SAI01,6509963,Laphroaig Quarter Cask 70cl,6509963
CL012,SAI01,6667805,Maker's Mark Bourbon 70cl,6667805
CL012,SAI01,6813852,The Famous Grouse Smoky Black 70cl,6813852
CL012,SAI01,6921087,Courvoisier VSOP Cognac 70cl,6921087
CL012,SAI01,7178869,Glenrothes Select Reserve 70cl,7178869
CL012,SAI01,7504201,Sourz Raspberry 70cl,7504201
CL012,SAI01,7510317,Jim Beam Red Stag 70cl,7510317
CL012,SAI01,7595369,Jim Beam Honey 70cl,7595369
CL012,SAI01,7595379,Macallan 1824 Gold Single Malt 70cl,7595379
CL012,SAI01,7595408,BRUGAL ANEJO 70CL,7595408
CL012,SAI01,7595416,Bols Yoghurt Liqueur 50cl,7595416
CL012,SAI01,7622047,Bowmore Islay Single Malt 70cl,7622047
CL012,SAI01,7689594,Hakushu Distiller's Reserve Whisky 70cl,7689594
CL012,SAI01,7689597,Yamazaki Distiller's Reserve Whisky 70cl,7689597
CL012,SAI01,7725304,SOURZ TOFFEE APPLE 70CL,7725304
CL012,SAI01,7741820,JIM BEAM GLASS & ICE BALL,7741820
CL012,SAI01,7744201,Sourz Rainbow Ice 70cl,7744201
CL012,SAI01,7809873,Canadian Club Whisky 70cl,7809873
CL012,SAI01,7812189,The Famous Grouse Mellow Gold 70cl,7812189
CL012,SAI01,7812194,Laphroaig Select 70cl,7812194
CL012,SAI01,7813468,Auchentoshan American Oak 70cl,7813468
CL012,SAI01,7855692,Bowmore No 1 Vaults,7855692
CL012,SAI01,7880328,Courvoisier VSOP 5cl,7880328
CL012,SAI01,7907290,Roku Gin 70cl,7907290
CL012,SAI01,7907777,Cherry Sourz 70cl,7907777
CL012,SAI01,7907779,Jim Beam White 1L,7907779
CL012,SAI01,7907786,Courvoisier XO 20cl,7907786
CL012,SAI01,7907812,Courvoisier VSOP 35cl,2560090
CL012,SAI01,7907826,Bowmore 12YO 70cl,7907826
CL012,SAI01,7907834,Laphroaig 10YO 5cl,7907834
CL012,SAI01,7907838,Macallan Gold 5cl,7907838
CL012,SAI01,7907846,Famous Grouse Ruby Cask 70cl,7907846
CL012,SAI01,7928430,Toki Whisky 70cl,7928430
CL012,SAI01,7940001,Auchentoshan Three Wood Whisky 70cl 43%,7940001
CL012,SAI01,7940004,Highland Park Dragon Legend Whisky 70cl,7940004
CL012,SAI01,8076555,Highland Park 10YO 70cl,8076555   
