Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Retailer_Product_Description,
CL012,TES01,050234062,HARVEYS BRISTOL CREAM SHERRY 1L,
CL012,TES01,050236307,TEACHER'S SCOTCH WHISKY 70CL,
CL012,TES01,050236906,THE FAMOUS GROUSE SCOTCH WHISKY 35CL,
CL012,TES01,050236912,THE FAMOUS GROUSE SCOTCH WHISKY 70CL,
CL012,TES01,050237531,JIM BEAM WHITE BOURBON 70CL,
CL012,TES01,050238708,COURVOISIER V.S. COGNAC 70CL,
CL012,TES01,050358324,LAPHROAIG ISLAY SINGLE MALT 10YRWHISKY 70CL,
CL012,TES01,050393206,SOURZ APPLE 70CL,
CL012,TES01,050493537,COURVOISIER V.S. COGNAC 35CL,
CL012,TES01,050519561,THE FAMOUS GROUSE SCOTCH WHISKY 1 LITRE,
CL012,TES01,050550136,THE MACALLAN 10 YEAR OLD MALTWHISKY 70CL,
CL012,TES01,050671494,TEACHER'S SCOTCH WHISKY 1L,
CL012,TES01,050975428,HIGHLAND PARK MALT WHISKY 70CL,
CL012,TES01,051172150,STOLICHNAYA PREMIUM VODKA 70CL,
CL012,TES01,051297238,GALLIANO VANILLA LIQUEUR 500ML,
CL012,TES01,054076121,HARVEYS BRISTOL CREAM 37.5CL,
CL012,TES01,055139582,COURVOISIER V.S. COGNAC 1 LITRE,
CL012,TES01,055622804,BOWMORE 12 YEAR OLD WHISKY 70CL,
CL012,TES01,057320507,COURVOISIER VSOP COGNAC 70CL,
CL012,TES01,057890396,AFTERSHOCK HOT & COOL RED CINNAMON 50CL,
CL012,TES01,059262457,SOURZ CHERRY 70CL,
CL012,TES01,059314898,JIM BEAM WHITE 1 LITRE,
CL012,TES01,062699748,MIDORI MELON LIQUEUR 50CL,
CL012,TES01,063073139,JIM BEAM & COLA 330ML,
CL012,TES01,063778982,PAPERMATE FLEX GRIP BLK 5 PK,
CL012,TES01,064004371,SHARPIE PERMANENT MARKERBLACK 5 PACK,
