Deal_type,INV_ref,Unit_ref
Simple Price Promotion,PR,E
Distribution Service,MS,
Distribution Charge,MS,
Forensic Recovery,MS,
Customer Complaints,MS,
Delivery Non-Conformance,MS,
Customer Compliants,MS,
Primary Distribution,MS,
Overrider Deal,FX,
Feature/Promotional Space Deal,MK,
Promotion Funding Deal,MS,
Sales Out Retrospective Discou,MS,
Promotional Funding Reconcilia,MS,
Primary Distribution Charge,MS,
Coupons Redemption Charge,MS,
IMPULSE,MS,
Surveillance Testing Charge,MS,
Promotional Funding,MS,
Coupon Redemption Deal,MS,
CUSTOMER COMPLIANTS,MS,
Artwork and Packaging Charge,MK,
Promotional Income Recovery,MS,
Exceptional Funding,MS,
Barcode Non-Scan Charge,MS,
Markdown/ Exit Support Deal,MS,
Marketing Deal,MK,
Markdown/Exit Support Deal,MK,
Promotion Funding Reconciliati,MS,
Coupon Redemption Charge,MS,
Missing Promotional Funding Ch,MS,
Simple price,PR,E
COMPLEX DEAL - Bill Back,PR,E
FIXED DEAL - Media Services,MK,
FIXED DEAL - Retro Bonus,MS,
FIXED DEAL - Retro Margin,MS,
FIXED DEAL - Multisave,MS,
FIXED DEAL - Ads & Proms,MS,
COMPLEX DEAL - Vendor Funded Promotion,PR,E
FIXED DEAL - Media Services,MK,
COUPONS,MK,
Delivery Non-Conformance Charg,MS,
Delivery Non-Conformance Char,MS,
BWS,MS,
PRIMARY DISTRIBUTION,MS,
Waste charge,MS,
Cost Price Recovery,MS,
Sales Out Retrospective,MS,
Promotional Funding Recon,MS,
Artwork and Packaging,MK,
BAKERY,MS,
Barcode Non-scan Charge,MS,
Emergency Product,MS,
Emergency Product Withdrawal C,MS,
Service Level Charge,MS,
Commodity/FX Cost Price Recove,MS,
Cost Price Reconciliation,MS,
DeliveryNon-Conformance Charge,MS,
Delivery NonConformance Charge,MS,
MultiSaver,MS,
Delivery Non-ConformanceCharge,MS,
Delivery Non-ConformanceCharge,MS,
DeliveryNonConformance Charge,MS,
Non-Conformance Charge,MS,
FIXED DEAL - Packaging,MS,
Supplier Funded Agreement,MS,
Feature/Promotional Space,MK,
Feature/Promotional,MK,
Promotional Funding reconcilia,MS,
Missing Promotional Funding,MS,
Marketing Fee Deal,MK,
Goods In Retro Deal,MS,
Volume Agreement,PR,E
Fixed Agreement,FX,
VOLUME REBATE,MS,
DeliveryNon-ConformanceCharge,MS,
