,ID,Status
0,Agreement.CostPriceChange.2759212,Completed
1,Agreement.CostPriceChange.2794266,Closed
2,Agreement.CostPriceChange.2794357,Completed
3,Agreement.Invoice.2706893,Completed
4,Agreement.Invoice.2725471,Completed
5,Agreement.Invoice.2791133,Completed
6,Agreement.Invoice.2797238,Completed
7,Agreement.Invoice.2802587,Completed
8,Agreement.Invoice.2806756,Completed
9,Agreement.Invoice.2806814,Completed
10,Agreement.Invoice.2809709,Completed
11,Agreement.Invoice.2809720,Completed
12,Agreement.Invoice.2818411,Completed
13,Agreement.Invoice.2818632,Completed
14,Agreement.Invoice.2818647,Completed
15,Agreement.Invoice.2818705,Completed
16,Agreement.Invoice.2822644,Completed
17,Agreement.Invoice.2836650,Completed
18,Agreement.Invoice.2836861,Completed
19,Agreement.Invoice.2840841,Completed
20,Agreement.Invoice.2846682,Completed
21,Agreement.Invoice.2848095,Completed
22,Agreement.Invoice.2848179,Completed
23,Agreement.Promotion.2572783,Confirmed
24,Agreement.Promotion.2572860,Confirmed
25,Agreement.Promotion.2572943,Confirmed
26,Agreement.Promotion.2572999,Confirmed and  Closed
27,Agreement.Promotion.2573120,Supplier Amended
28,Agreement.Promotion.2573440,Confirmed
29,Agreement.Promotion.2577956,Confirmed
30,Agreement.Promotion.2578083,Confirmed and  Closed
31,Agreement.Promotion.2641313,Confirmed
32,Agreement.Promotion.2641586,Supplier Amended
33,Agreement.Promotion.2682063,Confirmed
34,Agreement.Promotion.2682157,Confirmed
35,Agreement.Promotion.2682191,Confirmed
36,Agreement.Promotion.2682725,Confirmed
37,Agreement.Promotion.2688988,Rejected
38,Agreement.Promotion.2689787,Confirmed
39,Agreement.Promotion.2689813,Confirmed
40,Agreement.Promotion.2689841,Confirmed
41,Agreement.Promotion.2689857,Confirmed
42,Agreement.Promotion.2689885,Confirmed
43,Agreement.Promotion.2689908,Confirmed
44,Agreement.Promotion.2709641,Supplier Amended
45,Agreement.Promotion.2712628,Closed
46,Agreement.Promotion.2718650,Confirmed
47,Agreement.Promotion.2719050,Confirmed
48,Agreement.Promotion.2719116,Confirmed
49,Agreement.Promotion.2719141,Confirmed
50,Agreement.Promotion.2728773,Confirmed and  Closed
51,Agreement.Promotion.2729094,Confirmed
52,Agreement.Promotion.2751233,Confirmed
53,Agreement.CostPriceChange.2759444,Completed
54,Agreement.CostPriceChange.2759457,Completed
55,Agreement.CostPriceChange.2857904,Completed
56,Agreement.CostPriceChange.2869512,Unconfirmed
57,Agreement.CostPriceChange.2876122,Closed
58,Agreement.CostPriceChange.2939977,Completed
59,Agreement.Invoice.2876743,Completed
60,Agreement.Invoice.2888888,Completed
61,Agreement.Invoice.2896073,Completed
62,Agreement.Invoice.2909944,Completed
63,Agreement.Invoice.2923205,Completed
64,Agreement.Invoice.2927435,Completed
65,Agreement.Invoice.2933325,Completed
66,Agreement.Invoice.2933725,Completed
67,Agreement.Invoice.2934665,Completed
68,Agreement.Invoice.2936792,Completed
69,Agreement.Invoice.2940159,Completed
70,Agreement.Invoice.2984186,Completed
71,Agreement.Invoice.3019278,Completed
72,Agreement.Promotion.2801661,Rejected
73,Agreement.Promotion.2803226,Confirmed
74,Agreement.Promotion.2803251,Confirmed
75,Agreement.Promotion.2803274,Confirmed
76,Agreement.Promotion.2823022,Confirmed
77,Agreement.Promotion.2823053,Confirmed
78,Agreement.Promotion.2890967,Confirmed
79,Agreement.Promotion.2891324,Rejected
80,Agreement.Promotion.2891446,Confirmed
81,Agreement.Promotion.2891469,Confirmed
82,Agreement.Promotion.2891487,Rejected
83,Agreement.Promotion.2891502,Confirmed
84,Agreement.Promotion.2891520,Confirmed
85,Agreement.Promotion.2933811,Confirmed
86,Agreement.Promotion.2949598,Confirmed
87,Agreement.SupplyAgreement.3347352,Active
88,Agreement.SupplyAgreement.3348852,Active
89,Agreement.SupplyAgreement.3359564,Active
90,Agreement.SupplyAgreement.3418740,Active
91,Agreement.SupplyAgreement.3418900,Active
92,Agreement.SupplyAgreement.3419087,Active
93,Agreement.SupplyAgreement.3438370,Closed
94,Agreement.CostPriceChange.3144530,Completed
95,Agreement.Promotion.2844686,Confirmed
96,Agreement.Promotion.2994491,Confirmed
97,Agreement.Promotion.2994567,Confirmed
98,Agreement.Promotion.2994644,Confirmed
99,Agreement.Promotion.2994671,Confirmed
100,Agreement.Promotion.2994687,Confirmed
101,Agreement.Promotion.2995510,Confirmed
102,Agreement.CostPriceChange.3119198,Unconfirmed
103,Agreement.CostPriceChange.3119203,Unconfirmed
104,Agreement.CostPriceChange.3119513,Closed
105,Agreement.CostPriceChange.3146309,Completed
106,Agreement.CostPriceChange.3146353,Completed
107,Agreement.CostPriceChange.3146378,Completed
108,Agreement.CostPriceChange.3212875,Completed
109,Agreement.CostPriceChange.3212885,Completed
110,Agreement.CostPriceChange.3212888,Completed
111,Agreement.CostPriceChange.3212892,Completed
112,Agreement.CostPriceChange.3212895,Completed
113,Agreement.CostPriceChange.3212899,Completed
114,Agreement.CostPriceChange.3220433,Closed
115,Agreement.CostPriceChange.3220441,Unconfirmed
116,Agreement.CostPriceChange.3241871,Unconfirmed
117,Agreement.CostPriceChange.3291484,Confirmed and  Closed
118,Agreement.Promotion.3035050,Confirmed
119,Agreement.Promotion.3035130,Confirmed
120,Agreement.Promotion.3045514,Confirmed
121,Agreement.Promotion.3045591,Confirmed
122,Agreement.Promotion.3045696,Confirmed
123,Agreement.Promotion.3064139,Confirmed
124,Agreement.Promotion.3064162,Confirmed
125,Agreement.Promotion.3064175,Confirmed
126,Agreement.Promotion.3064232,Confirmed
127,Agreement.Promotion.3120112,Confirmed
128,Agreement.Promotion.3130024,Confirmed
129,Agreement.CostPriceChange.3335903,Unconfirmed
130,Agreement.CostPriceChange.3335954,Unconfirmed
131,Agreement.CostPriceChange.3335996,Unconfirmed
132,Agreement.CostPriceChange.3336000,Unconfirmed
133,Agreement.CostPriceChange.3336033,Unconfirmed
134,Agreement.CostPriceChange.3336036,Unconfirmed
135,Agreement.CostPriceChange.3336037,Unconfirmed
136,Agreement.CostPriceChange.3352952,Completed
137,Agreement.CostPriceChange.3353374,Completed
138,Agreement.CostPriceChange.3353381,Completed
139,Agreement.CostPriceChange.3353384,Completed
140,Agreement.CostPriceChange.3353897,Completed
141,Agreement.CostPriceChange.3353957,Completed
142,Agreement.CostPriceChange.3353960,Completed
143,Agreement.CostPriceChange.3353963,Completed
144,Agreement.CostPriceChange.3353965,Completed
145,Agreement.CostPriceChange.3360324,Completed
146,Agreement.CostPriceChange.3360334,Completed
147,Agreement.CostPriceChange.3360335,Completed
148,Agreement.CostPriceChange.3422690,Completed
149,Agreement.CostPriceChange.3422921,Completed
