Cost_Effective_Date,Price_Description,Item_Number,Product_Number,Case_Size,Current_Case_Cost,Proposed_Case_Cost,Status,ID,Product_Description,CRP_ID
24/02/2020,cost of raw materials,110214827,0292990,5.0,5.9500,2.5500,Passed,Agreement.CostPriceChange.1533400,PIN: [5 x] MARMITE BISCUITS FOR CHEESE 150G,
24/06/2020,Re list,102878931,0305911,20.0,12.4000,5.9400,Passed,Agreement.CostPriceChange.1994689,PIN: [20 x] M/LAND CHOC CHIP CKIES 230G,
24/06/2020,Re list,102878965,0305912,20.0,12.4000,5.9400,Passed,Agreement.CostPriceChange.1994689,PIN: [20 x] M/LAND DBL CHOC CHIP CKIES 230G,
19/09/2020,Lyon's Rich Tea Cost Price Correction,111347648,0287140,18.0,5.0400,0.0900,Passed,Agreement.CostPriceChange.2251207,PIN: [18 x] LYONS' RICH TEA 300G,
23/09/2020,Seasonal 2020 Cost Price Alignment - Morrisons the Best Dipped Shortbread,111265933,0285501,6.0,27.0000,-1.5000,Passed,Agreement.CostPriceChange.2262532,PIN: [6 x] MORRISONS THE BEST LUXURY HAND DIPPED CHOCOLATE SHORTBREAD 270G,
,,106072379,0280232,20.0,6.0000,1.4000,Passed,Agreement.CostPriceChange.3870288,PIN: [20 x] MORRISONS CHOC CHIP COOKIE 230G,
,,106073566,0280136,28.0,8.1200,1.5400,Passed,Agreement.CostPriceChange.3870288,PIN: [28 x] MORRISONS FIG ROLL 200G,
,,109409862,0300115,21.0,7.9800,1.2600,Passed,Agreement.CostPriceChange.3870288,PIN: [21 x] MORRISONS DARK CHOCOLATE DIGESTIVES 300G,
,,109620086,0300004,10.0,10.5400,2.8600,Passed,Agreement.CostPriceChange.3870288,PIN: [10 x] MARYLAND COOKIES CHOC CHIP TWIN PACK 460G,
,,109883396,0280087,16.0,4.4600,1.4600,Passed,Agreement.CostPriceChange.3870288,PIN: [16 x] MORRISONS SAVERS CHOCOLATE CHIP COOKIES 250G,
,,110230667,0281098,15.0,4.2000,1.0500,Passed,Agreement.CostPriceChange.3870288,PIN: [15 x] MORRISONS DIGESTIVES 400G,
,,111118028,0281342,8.0,4.3500,0.0500,Passed,Agreement.CostPriceChange.3870288,PIN: [8 x] MORRISONS MILK CHOCOLATE COOKIES 200G,
26/08/2021,Commodity Inflation,111118028,0281342,8.0,4.3500,0.0500,Failed,Agreement.CostPriceChange.3870360,PIN: [8 x] MORRISONS MILK CHOCOLATE COOKIES 200G,The item is already on a cost change for the same supplier and site for 26/08/2021 in another session
