Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,,,19,03/11/2021,23/11/2021,Agreement.Promotion.4042213
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,03/11/2021,23/11/2021,Agreement.Promotion.4042226
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,,,20,03/11/2021,23/11/2021,Agreement.Promotion.4042240
109637241,HIGHLAND PARK DRAGON LEGEND SINGLE MALT SCOTCH WHISKY 70CL (ABV 43.1%),,4.31,,28,03/11/2021,23/11/2021,Agreement.Promotion.4042898
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,4.22,,23,03/11/2021,23/11/2021,Agreement.Promotion.4042932
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.31,,,03/11/2021,23/11/2021,Agreement.Promotion.4052134
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.58,,13,03/11/2021,23/11/2021,Agreement.Promotion.4106688
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,3.72,,25,03/11/2021,23/11/2021,Agreement.Promotion.4129854
102859641,Jim Beam Red Stag 40% 70cl,,3.33,,13,03/11/2021,23/11/2021,Agreement.Promotion.4129881
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.58,,13,03/11/2021,23/11/2021,Agreement.Promotion.4129881
110883756,TOKI SUNTORY WHISKY 70CL (ABV 43%),,1.66,,30,03/11/2021,23/11/2021,Agreement.Promotion.4129953
110772431,BOWMORE ISLAY SINGLE MALT SCOTCH WHISKY AGED 12 YEARS 700ML (ABV 40%),,6.33,,28,03/11/2021,23/11/2021,Agreement.Promotion.4160778
101550458,COURVOISIER VS COGNAC 70CL 40%,,1.74,,25,03/11/2021,23/11/2021,Agreement.Promotion.4160901
101538336,FAMOUS GROUSE WHISKY 35CL 40%,,0.38,,8.5,03/11/2021,23/11/2021,Agreement.Promotion.4160925
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.37,,14,03/11/2021,23/11/2021,Agreement.Promotion.4160951
109637241,HIGHLAND PARK DRAGON LEGEND SINGLE MALT SCOTCH WHISKY 70CL (ABV 43.1%),,4.31,,30,03/11/2021,23/11/2021,Agreement.Promotion.4161052
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.31,,16.99,03/11/2021,23/11/2021,Agreement.Promotion.4161112
102859641,Jim Beam Red Stag 40% 70cl,,3.33,,13,03/11/2021,23/11/2021,Agreement.Promotion.4173297
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.91,,13,03/11/2021,23/11/2021,Agreement.Promotion.4173297
102859641,Jim Beam Red Stag 40% 70cl,,3.33,,14,03/11/2021,23/11/2021,Agreement.Promotion.4173328
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.16,,14,03/11/2021,23/11/2021,Agreement.Promotion.4173328
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.31,,15.99,03/11/2021,16/11/2021,Agreement.Promotion.4216576
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,1.85,,14,03/11/2021,23/11/2021,Agreement.Promotion.4221577
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,24/11/2021,01/01/2022,Agreement.Promotion.4232568
106900613,THE ARDMORE SINGLE MALT 40% 70CL,,5.14,,20,24/11/2021,01/01/2022,Agreement.Promotion.4238053
101543215,COURVOISIER VSOP 70CL 40%,,4.21,,28,24/11/2021,01/01/2022,Agreement.Promotion.4238067
101557431,JIM BEAM BOURBON 70CL 40%,,1.91,,14,24/11/2021,01/01/2022,Agreement.Promotion.4238080
108448798,MAKER'S MARK BOURBON WHISKY 70CL (ABV 45%),,2.49,,25,24/11/2021,01/01/2022,Agreement.Promotion.4238094
110733336,ROKU GIN THE JAPANESE CRAFT GIN 700ML (ABV 43%),,2.11,,25,24/11/2021,01/01/2022,Agreement.Promotion.4238153
101527670,SOURZ APPLE 70CL 15%,,1.58,,8,24/11/2021,01/01/2022,Agreement.Promotion.4238171
108599131,SOURZ CHERRY 15% 70CL,,1.58,,8,24/11/2021,01/01/2022,Agreement.Promotion.4238171
110771922,SOURZ PASSION FRUIT 70CL (ABV 15%),,1.58,,8,24/11/2021,01/01/2022,Agreement.Promotion.4238171
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.81,,13,24/11/2021,01/01/2022,Agreement.Promotion.4238191
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,1.85,,14,24/11/2021,01/01/2022,Agreement.Promotion.4238232
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.31,,16.99,10/11/2021,14/11/2021,Agreement.Promotion.4247480
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.31,,15.99,15/11/2021,01/01/2022,Agreement.Promotion.4247540
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,3.72,,25,24/11/2021,01/01/2022,Agreement.Promotion.4250804
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.27,,14,24/11/2021,01/01/2022,Agreement.Promotion.4289497
110772554,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY AGED 10 YEARS 70CL (ABV 40%),,5.04,,28,24/11/2021,01/01/2022,Agreement.Promotion.4289526
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,4.77,,22,24/11/2021,01/01/2022,Agreement.Promotion.4289544
