Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
100676032,NICE N EASY N MED MAH BRN 118E,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676041,NICE N EASY DARK MOCHA BROWN 4W,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676059,NICE N EASY DARK BROWN 4,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676075,NICE N EASY NAT MED C/BRN 118C,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676180,NICE N EASY NAT GLD AUBURN 108,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676243,NICE N EASY LIGHT ASH BLONDE 9A,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676294,NICE N EASY MEDIUM BLONDE 8,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676315,NICE N EASY N MED C/BLOND 103B,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676340,NICE N EASY DARK BLONDE 7,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676374,NICE N EASY MEDIUM ASH BLONDE 8A,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676411,NICE N EASY BABY BLONDE 10A,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676657,NICE N EASY LIGHT AUBURN 6R,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676702,NICE N EASY DARK BURGUNDY BROWN 3.5BG,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676711,NICE N EASY LIGHT ASH BROWN 6A,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676729,NICE N EASY LIGHTEST GOLDEN BROWN 6.5G,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676745,NICE N EASY LIGHTEST BROWN 6.5,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676788,NICE N EASY LIGHT GOLDEN BROWN 6G,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676809,NICE N EASY MEDIUM GOLDEN BROWN 5G,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
100676825,NICE N EASY MEDIUM COOL BROWN 5C,,0.62,,5.5,02/01/2021,26/01/2021,Agreement.Promotion.2044358
