Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
109437812.0,NAPOLINA OLIVE OIL 750ML,,0.22,,3.5,2/1/2021,19/1/2021,Agreement.Promotion.2572783
109437919.0,NAPOLINA LIGHT IN COLOUR OLIVE OIL 750ML,,0.22,,3.5,2/1/2021,19/1/2021,Agreement.Promotion.2572783
109437978.0,NAPOLINA EXTRA VIRGIN OLIVE OIL FRUITY FLAVOUR 750ML,,0.17,,3.5,2/1/2021,19/1/2021,Agreement.Promotion.2572783
109411559.0,NAPOLINA LIGHT IN COLOUR OLIVE OIL SPRAY 200ML,,,,2.0,2/1/2021,19/1/2021,Agreement.Promotion.2572860
109411612.0,NAPOLINA EXTRA VIRGIN OLIVE OIL SPRAY FRUITY 200ML,,,,2.0,2/1/2021,19/1/2021,Agreement.Promotion.2572860
100397551.0,CRISP'N'DRY VEG OIL       1L,,,,1.4,2/1/2021,19/1/2021,Agreement.Promotion.2572943
100398458.0,FLORA PURE SUNFLOWER OIL    2L,,0.18,,2.75,2/1/2021,19/1/2021,Agreement.Promotion.2572999
100370762.0,PRINCES CORNED BEEF 340G,,,,2.5,1/1/2021,19/1/2021,Agreement.Promotion.2573440
100369059.0,BRANSTON BAKED BEANS      220G,,,,0.0,2/1/2021,19/1/2021,Agreement.Promotion.2577956
100369067.0,BRANSTON BAKED BEANS  4 X 410G,,,,1.5,2/1/2021,19/1/2021,Agreement.Promotion.2578083
110787561.0,BRANSTON REDUCED SUGAR & SALT BAKED BEANS 4 X 410G,,,,1.5,2/1/2021,19/1/2021,Agreement.Promotion.2578083
100375580.0,PRINCES BEEF PASTE         75G,,,,0.5,20/1/2021,23/2/2021,Agreement.Promotion.2641313
100375601.0,PRINCES SALMON PASTE       75G,,,,0.5,20/1/2021,23/2/2021,Agreement.Promotion.2641313
100375619.0,PRINCES CHICKEN PASTE      75G,,,,0.5,20/1/2021,23/2/2021,Agreement.Promotion.2641313
100375643.0,PRINCES SARDINE+TOM PASTE  75G,,,,0.5,20/1/2021,23/2/2021,Agreement.Promotion.2641313
100375660.0,PRINCES TUNA & MAYO PASTE  75G,,,,0.5,20/1/2021,23/2/2021,Agreement.Promotion.2641313
107512049.0,PRINCES CHICKEN AND HAM PASTE 75G,,,,0.5,20/1/2021,23/2/2021,Agreement.Promotion.2641313
100366755.0,NAPOLINA CHOPPED TOMATOES 400G,,0.02,,0.75,20/1/2021,23/2/2021,Agreement.Promotion.2682063
100366763.0,NAPOLINA PEELED PLUM TOMATOES 400G,,0.02,,0.75,20/1/2021,23/2/2021,Agreement.Promotion.2682063
110494048.0,PRINCES TUNA STEAKS IN BRINE 160G,,,,1.5,20/1/2021,23/2/2021,Agreement.Promotion.2682157
110494072.0,PRINCES TUNA STEAKS IN SUNFLOWER OIL 160G,,,,1.5,20/1/2021,23/2/2021,Agreement.Promotion.2682157
110494101.0,PRINCES TUNA STEAKS IN SPRING WATER 160G,,,,1.5,20/1/2021,23/2/2021,Agreement.Promotion.2682157
110499050.0,OSPREY TUNA FLAKES IN BRINE 160G,,0.03,,0.0,2/1/2021,23/2/2021,Agreement.Promotion.2682191
104894782.0,CROSSE & BLACKWELL BEST OF BRITISH BROCCOLI & STILTON SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
104894820.0,Crosse & Blackwell Best of British Pea & Ham Soup 400g,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
105440598.0,CROSSE & BLACKWELL BEST OF BRITISH ROAST CHICKEN & VEGETABLE SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
105812283.0,CROSSE & BLACKWELL BEST OF BRITISH WINTER VEGETABLE SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
105812312.0,CROSSE & BLACKWELL BEST OF BRITISH CREAM OF ROAST CHICKEN 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
108420859.0,CROSSE & BLACKWELL BEST OF BRITISH PEA & MINT SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
108444615.0,CROSSE & BLACKWELL BEST OF BRITISH HAM HOCK & VEGETABLE SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
108494962.0,CROSSE & BLACKWELL BEST OF BRITISH CHUNKY VEGETABLE & BEEF SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
110255477.0,CROSSE & BLACKWELL BEST OF BRITISH VEGETABLE BROTH 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
110288501.0,CROSSE & BLACKWELL BEST OF BRITISH GREEN VEGETABLE & KALE SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
110288607.0,CROSSE & BLACKWELL BEST OF BRITISH SPICY PARSNIP & CARROT SOUP 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
110826858.0,CROSSE & BLACKWELL BUTTERNUT SQUASH & SAGE 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
110826882.0,CROSSE & BLACKWELL CAULIFLOWER & WENSLEYDALE 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
110826911.0,CROSSE & BLACKWELL SPICY CARROT & CORIANDER 400G,,,,0.0,20/1/2021,23/2/2021,Agreement.Promotion.2682725
100397957.0,NAPOLINA OLIVE OIL       500ML,,0.39,,2.5,20/1/2021,23/2/2021,Agreement.Promotion.2689787
